Date,Region,Disease,New_Cases
2022-07-03,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5885
2022-07-10,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),720
2022-07-17,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1401
2022-07-24,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),6260
2022-07-31,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),569
2022-08-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1578
2022-08-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1013
2022-08-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2299
2022-08-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),7307
2022-09-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),7139
2022-09-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),292
2022-09-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),695
2022-09-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1181
2022-10-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),250
2022-10-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),362
2022-10-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),6902
2022-10-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),68
2022-10-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),29
2022-11-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),182
2022-11-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),217
2022-11-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),210
2022-11-27,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),550
2022-12-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1433
2022-12-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),181
2022-12-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),211
2022-12-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),850
2023-01-01,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1174
2023-01-08,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),569
2023-01-15,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),205
2023-01-22,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),116
2023-01-29,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),199
2023-02-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),961
2023-02-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),497
2023-02-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1356
2023-02-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),198
2023-03-05,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),255
2023-03-12,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),50
2023-03-19,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),94
2023-03-26,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),47
2023-04-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),30
2023-04-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2
2023-04-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2023-04-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2023-04-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2023-05-07,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2023-05-14,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2023-05-21,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),0
2023-05-28,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),35
2023-06-04,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),28
2023-06-11,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),30
2023-06-18,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),693
2023-06-25,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),84
2023-07-02,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),483
2023-07-09,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),1725
2023-07-16,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),252
2023-07-23,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),7006
2023-07-30,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),39
2023-08-06,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),5353
2023-08-13,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),2012
2023-08-20,Maharashtra,Endemic Aggregate (Dengue/Malaria/Viral),4121
